,Gwif,Gwoct,Solubility Scale,ASA,S,OH,Charge,Mass (AMU),NH2,SP2,SP3
Na,-0.01841108999997232,-0.016349809999951503,-0.0020612800000208154,0.985,0.0,0.0,0.0,158.2,0.0,0.0,1.0
Nab,-0.016107390000001942,-0.01431955000009566,-0.0017878399999062822,1.875,0.0,0.0,0.0,200.28,0.0,0.0,4.0
Nd,-0.11240030999999817,-0.10121032999995805,-0.011189980000040123,1.827,0.0,0.0,-1.0,201.2,0.0,1.0,1.0
Ne,-0.10806905999993432,-0.09808873999998013,-0.00998031999995419,1.958,0.0,0.0,-1.0,215.23,0.0,1.0,2.0
Nf,-0.018106849999981023,-0.016131330000007438,-0.001975519999973585,2.537,0.0,0.0,0.0,234.3,0.0,6.0,1.0
Nfe,-0.01790882000000238,-0.015982979999989766,-0.001925840000012613,2.808,0.0,0.0,0.0,248.33,0.0,6.0,2.0
NfeBr,-0.02075055999966935,-0.018431089999921824,-0.0023194699997475254,3.304,0.0,0.0,0.0,327.22,0.0,6.0,2.0
NfeCl,-0.018674499999860927,-0.016724229999908857,-0.00195026999995207,3.303,0.0,0.0,0.0,282.77,0.0,6.0,2.0
Nfex,-0.018121369999903436,-0.016106049999962124,-0.002015319999941312,2.634,0.0,0.0,0.0,248.33,0.0,6.0,2.0
Nfn,-0.01839002999997774,-0.015529109999988577,-0.0028609199999891644,2.161,0.0,0.0,0.0,220.27,0.0,6.0,0.0
Nfnap,-0.019851959999982682,-0.01762208999991799,-0.002229870000064693,3.363,0.0,0.0,0.0,284.36,0.0,10.0,1.0
Nfp,-0.019360759999926813,-0.01714101999994,-0.002219739999986814,2.946,0.0,0.0,0.0,262.35,0.0,6.0,3.0
Ni,-0.015019690000031005,-0.013383770000018558,-0.0016359200000124474,1.772,0.0,0.0,0.0,200.28,0.0,0.0,4.0
Nk,-0.0934473300000036,-0.08464865999997073,-0.008798670000032871,2.428,0.0,0.0,1.0,216.31,1.0,0.0,4.0
Nke,-0.10169819999998708,-0.09112466999999924,-0.01057352999998784,1.768,0.0,0.0,1.0,188.25,1.0,0.0,2.0
Nkeqm,-0.09609989000000496,-0.08693640000001324,-0.009163489999991725,2.19,0.0,0.0,1.0,230.33,0.0,0.0,5.0
Nl,-0.01869890000000396,-0.016368989999932637,-0.0023299100000713224,1.821,0.0,0.0,0.0,200.28,0.0,0.0,4.0
Nm,-0.018562240000051133,-0.01652403000002778,-0.002038210000023355,1.945,1.0,0.0,0.0,218.31,0.0,0.0,3.0
NmO,-0.017983289999961016,-0.015996499999914704,-0.0019867900000463123,1.87,0.0,0.0,0.0,202.25,0.0,0.0,3.0
Nn,-0.03078295000000253,-0.02722028000005139,-0.00356266999995114,1.746,0.0,0.0,0.0,201.23,1.0,1.0,1.0
Nq,-0.02618680000000495,-0.023269319999940308,-0.002917480000064643,1.921,0.0,0.0,0.0,215.25,1.0,1.0,2.0
Nr,-0.1129650400000628,-0.1017875100000083,-0.011177530000054503,2.565,0.0,0.0,1.0,244.32,2.0,1.0,2.0
Ns,-0.019592569999986154,-0.017552099999988968,-0.0020404699999971854,1.621,0.0,1.0,0.0,174.2,0.0,0.0,1.0
Nse,-0.020689029999971353,-0.018475370000032854,-0.0022136599999385,1.808,0.0,1.0,0.0,188.23,0.0,0.0,2.0
Nt,-0.02424359999997705,-0.021880170000031285,-0.0023634299999457653,1.758,0.0,1.0,0.0,188.23,0.0,0.0,2.0
Nv,-0.015606879999950252,-0.013912239999967824,-0.001694639999982428,1.717,0.0,0.0,0.0,186.26,0.0,0.0,3.0
Nw,-0.023166919999994207,-0.02074683000000732,-0.0024200899999868852,3.026,0.0,0.0,0.0,273.34,0.0,8.0,1.0
Nwe,-0.02316438000002563,-0.019587460000025203,-0.0035769200000004275,3.176,0.0,0.0,0.0,287.36,0.0,8.0,2.0
Ny,-0.02214733999994678,-0.019659049999972922,-0.0024882899999738584,2.571,0.0,1.0,0.0,250.3,0.0,6.0,1.0
